#Parameters = {R=2398; a=150; b=1199; c=300000000000; f=1000000000; lwg=600; t=75; tt=30; wl=300}
#"Y / mm"	"e-field (f=1.6) (1)_Z (Y)_1"
#--------------------------------------
-652.18407960199	-121.27859111861
-646.83830845771	-118.13661773322
-641.49253731343	-115.10439754042
-636.14676616915	-112.17171109915
-630.80099502488	-109.33133619859
-625.45522388060	-106.58426960718
-620.10945273632	-103.92694601259
-614.76368159204	-101.36096424607
-609.41791044776	-98.886840456870
-604.07213930348	-96.504205020183
-598.72636815920	-94.224745054016
-593.38059701493	-91.490630932468
-588.03482587065	-88.821159546570
-582.68905472637	-86.242071313740
-577.34328358209	-83.767623869289
-571.99751243781	-81.389043755079
-566.65174129353	-79.097868561124
-561.30597014925	-76.920603716152
-555.96019900498	-74.808572174876
-550.61442786070	-72.765712722471
-545.26865671642	-70.784732254840
-539.92288557214	-68.859021675392
-534.57711442786	-66.982563416369
-529.23134328358	-65.066779937676
-523.88557213930	-62.991587465845
-518.53980099502	-60.886847867377
-513.19402985075	-58.811123223635
-507.84825870647	-56.803478802225
-502.50248756219	-54.865278393764
-497.15671641791	-53.021083139267
-491.81094527363	-51.423775795257
-486.46517412935	-49.854384397878
-481.11940298507	-48.325971876904
-475.77363184080	-46.958292638979
-470.42786069652	-45.699094648117
-465.08208955224	-44.389403253441
-459.73631840796	-43.012269504039
-454.39054726368	-41.572811618359
-449.04477611940	-40.076452422035
-443.69900497512	-38.528850324493
-438.35323383085	-37.065608155142
-433.00746268657	-35.649887228037
-427.66169154229	-34.178374625628
-422.31592039801	-32.661979671324
-416.97014925373	-31.517094374647
-411.62437810945	-30.615847588209
-406.27860696517	-29.663136596313
-400.93283582090	-28.654956835416
-395.58706467662	-27.584736966035
-390.24129353234	-26.459909490749
-384.89552238806	-25.332644228014
-379.54975124378	-24.200414121879
-374.20398009950	-23.060949248822
-368.85820895522	-21.912129558785
-363.51243781095	-20.752006309687
-358.16666666667	-19.655925612144
-352.82089552239	-18.673273812473
-347.47512437811	-17.752783860621
-342.12935323383	-16.866716628123
-336.78358208955	-16.017285438335
-331.43781094527	-15.205464034033
-326.09203980100	-14.431953467685
-320.74626865672	-13.779905819659
-315.40049751244	-12.503758838349
-310.05472636816	-11.377657251422
-304.70895522388	-10.301071623656
-299.36318407960	-9.3452320521824
-294.01741293532	-8.6055416499102
-288.67164179104	-7.8716152764603
-283.32587064677	-7.0777247780168
-277.98009950249	-6.2412743271131
-272.63432835821	-5.4573365600541
-267.28855721393	-4.7273340823377
-261.94278606965	-4.0522845500492
-256.59701492537	-3.4327711586953
-251.25124378109	-2.8919328722382
-245.90547263682	-1.8163190871530
-240.55970149254	-1.0058949440210
-235.21393034826	-0.34347733859405
-229.86815920398	0.22357525006416
-224.52238805970	0.69431358027902
-219.17661691542	1.0691475656378
-213.83084577114	1.5168990870105
-208.48507462687	1.9677778382692
-203.13930348259	2.4449034771726
-197.79353233831	2.9440847376052
-192.44776119403	3.4607310895999
-187.10199004975	3.9899884084131
-181.75621890547	4.5098629872619
-176.41044776119	4.9079697498148
-171.06467661692	5.3195939098101
-165.71890547264	5.7445415198381
-160.37313432836	6.1822786341706
-155.02736318408	6.4009325988254
-149.68159203980	6.6311498586214
-144.33582089552	6.8931127759784
-138.99004975124	7.1861555259776
-133.64427860697	7.5007826192679
-128.29850746269	7.8387091302202
-122.95273631841	8.1758196762898
-117.60696517413	8.5000289147399
-112.26119402985	8.8095552414647
-106.91542288557	9.1027683794719
-101.56965174129	9.3782059627698
-96.223880597015	9.6346032203518
-90.878109452736	9.8893030057657
-85.532338308458	10.245306655190
-80.186567164179	10.675683491208
-74.840796019900	11.019006021504
-69.495024875622	11.276732528225
-64.149253731343	11.450162685982
-58.803482587065	11.540430363413
-53.457711442786	11.876280472701
-48.111940298508	12.211045887185
-42.766169154229	12.529359025974
-37.420398009950	12.831615132981
-32.074626865672	13.083126741109
-26.728855721393	13.308231035850
-21.383084577114	13.272125369524
-16.037313432836	13.272194753302
-10.691542288557	13.308684181765
-5.3457711442786	13.381584797266
0.00000000000000	13.490663349974
5.3457711442786	13.635458950918
10.691542288557	13.653322336591
16.037313432836	13.578938544752
21.383084577114	13.440440491005
26.728855721393	13.012219728220
32.074626865672	12.597166981309
37.420398009950	12.260580118760
42.766169154229	11.973863309541
48.111940298508	11.738732226975
53.457711442786	11.583017532698
58.803482587065	11.396104314292
64.149253731343	11.125919795206
69.495024875622	10.687576232076
74.840796019900	10.203504131353
80.186567164179	9.7688351805681
85.532338308458	9.3879667956206
90.878109452736	9.2040617854809
96.223880597015	9.0841563393616
101.56965174129	8.9536040698201
106.91542288557	8.8125490564545
112.26119402985	8.6769659196063
117.60696517413	8.7125778783623
122.95273631841	8.8009318974910
128.29850746269	8.6242989980488
133.64427860697	7.9766945063877
138.99004975124	7.4097869680876
144.33582089552	7.0528775573958
149.68159203980	6.6647846337328
155.02736318408	6.2448534509512
160.37313432836	5.8712968736011
165.71890547264	5.4898450417328
171.06467661692	5.0256228811758
176.41044776119	4.1854936015171
181.75621890547	3.4067122695383
187.10199004975	2.7089709079028
192.44776119403	2.1483638545037
197.79353233831	1.6681041335650
203.13930348259	1.2435235579825
208.48507462687	0.87383319162460
213.83084577114	0.55851015948741
219.17661691542	0.22202750540216
224.52238805970	-0.24190516054986
229.86815920398	-1.0312100793278
235.21393034826	-1.5270960948833
240.55970149254	-2.2685216800810
245.90547263682	-3.0010572989513
251.25124378109	-3.7212950739041
256.59701492537	-4.4259003767735
261.94278606965	-5.1116470719870
267.28855721393	-5.7247237195320
272.63432835821	-6.3603463707995
277.98009950249	-6.9918906610948
283.32587064677	-7.6645199065009
288.67164179104	-8.3762853173434
294.01741293532	-9.1246213477542
299.36318407960	-9.9063839945002
304.70895522388	-10.717854468207
310.05472636816	-11.584192292342
315.40049751244	-12.457366292551
320.74626865672	-13.178864670728
326.09203980100	-13.967950583621
331.43781094527	-14.850078539447
336.78358208955	-15.828693346599
342.12935323383	-16.907087678345
347.47512437811	-17.939298681251
352.82089552239	-18.724932517667
358.16666666667	-19.528966217776
363.51243781095	-20.393031156236
368.85820895522	-21.616547862038
374.20398009950	-22.936893152992
379.54975124378	-24.237046732141
384.89552238806	-25.510307185998
390.24129353234	-26.749963291401
395.58706467662	-28.006371338010
400.93283582090	-29.574090448103
406.27860696517	-31.031491165270
411.62437810945	-32.350915166068
416.97014925373	-33.670708317279
422.31592039801	-35.067401891515
427.66169154229	-36.526268074995
433.00746268657	-37.905365929614
438.35323383085	-39.419689961835
443.69900497512	-40.996467669081
449.04477611940	-42.526878671376
454.39054726368	-44.014475340272
459.73631840796	-45.519897514432
465.08208955224	-47.037235534995
470.42786069652	-48.560182773880
475.77363184080	-50.011775861748
481.11940298507	-51.336882744448
486.46517412935	-52.672126857451
491.81094527363	-54.069140798452
497.15671641791	-55.460238774786
502.50248756219	-56.851080150620
507.84825870647	-58.247887319595
513.19402985075	-59.770152269941
518.53980099502	-61.597049628176
523.88557213930	-63.374428623091
529.23134328358	-65.099638387140
534.57711442786	-66.770407040773
539.92288557214	-68.384840626688
545.26865671642	-70.223525331959
550.61442786070	-72.624216000985
555.96019900498	-74.968144920708
561.30597014925	-77.085434023043
566.65174129353	-79.270565773714
571.99751243781	-81.831524685652
577.34328358209	-84.451337500656
582.68905472637	-87.057271253500
588.03482587065	-89.498190825770
593.38059701493	-91.708378028883
598.72636815920	-94.158806167316
604.07213930348	-97.133099603210
