#Parameters = {R=2398; a=150; b=1199; c=300000000000; f=1000000000; lwg=600; t=75; tt=30; wl=300}
#"Y / mm"	"e-field (f=1.6) (1)_Z (Y)"
#------------------------------------
-1074.5000000000	-1.8338552713394
-1069.1542288557	-1.3841705322266
-1063.8084577114	-0.91433739662170
-1058.4626865672	-0.42433631420135
-1053.1169154229	0.086379900574684
-1047.7711442786	0.62253916263580
-1042.4253731343	1.1820483207703
-1037.0796019900	1.7542805671692
-1031.7338308458	2.3461937904358
-1026.3880597015	2.9642813205719
-1021.0422885572	3.6085221767426
-1015.6965174129	4.2153229713440
-1010.3507462687	4.7843475341797
-1005.0049751244	5.3504786491394
-999.65920398010	5.8409914970398
-994.31343283582	6.2316222190857
-988.96766169154	6.5752272605896
-983.62189054726	6.8774008750916
-978.27611940299	7.1262416839600
-972.93034825871	7.3208308219910
-967.58457711443	7.4611649513245
-962.23880597015	7.5472478866577
-956.89303482587	7.5594267845154
-951.54726368159	7.4551248550415
-946.20149253731	7.3212404251099
-940.85572139303	7.1511902809143
-935.50995024876	6.8161606788635
-930.16417910448	6.3907699584961
-924.81840796020	5.9980621337891
-919.47263681592	5.5817890167236
-914.12686567164	5.1211299896240
-908.78109452736	4.6160759925842
-903.43532338308	4.0666403770447
-898.08955223881	3.4728169441223
-892.74378109453	2.8271064758301
-887.39800995025	2.1137678623199
-882.05223880597	1.3371976613998
-876.70646766169	0.51732754707336
-871.36069651741	-0.37067213654518
-866.01492537313	-1.2453209161758
-860.66915422886	-2.1041014194489
-855.32338308458	-2.9322144985199
-849.97761194030	-3.7143850326538
-844.63184079602	-4.4966478347778
-839.28606965174	-5.2790050506592
-833.94029850746	-6.0614547729492
-828.59452736318	-6.8439965248108
-823.24875621891	-7.6266303062439
-817.90298507463	-8.5566673278809
-812.55721393035	-9.6642723083496
-807.21144278607	-10.825634002686
-801.86567164179	-11.768171310425
-796.51990049751	-12.589107513428
-791.17412935323	-13.468673706055
-785.82835820896	-14.389001846313
-780.48258706468	-15.096794128418
-775.13681592040	-15.762907028198
-769.79104477612	-16.362808227539
-764.44527363184	-16.915287017822
-759.09950248756	-17.451423645020
-753.75373134328	-17.969795227051
-748.40796019900	-18.460754394531
-743.06218905473	-18.939899444580
-737.71641791045	-19.408596038818
-732.37064676617	-19.866849899292
-727.02487562189	-20.305444717407
-721.67910447761	-20.646036148071
-716.33333333333	-20.707292556763
-710.98756218905	-20.665229797363
-705.64179104478	-20.562545776367
-700.29601990050	-20.399244308472
-694.95024875622	-20.178985595703
-689.60447761194	-19.928401947021
-684.25870646766	-19.636304855347
-678.91293532338	-19.302705764771
-673.56716417910	-18.927595138550
-668.22139303483	-18.510982513428
-662.87562189055	-17.993898391724
-657.52985074627	-17.161308288574
-652.18407960199	-16.064926147461
-646.83830845771	-14.920923233032
-641.49253731343	-13.729309082031
-636.14676616915	-12.490074157715
-630.80099502488	-11.207914352417
-625.45522388060	-9.9018573760986
-620.10945273632	-8.5658102035522
-614.76368159204	-7.1997704505920
-609.41791044776	-5.8037223815918
-604.07213930348	-4.3776731491089
-598.72636815920	-2.9303305149078
-593.38059701493	-1.0583072900772
-588.03482587065	0.85494518280029
-582.68905472637	2.7822813987732
-577.34328358209	4.7072911262512
-571.99751243781	6.6299886703491
